subset,roi,coverage,roi_max_r9,all_rejected
spain_crops,ROI_00001,0.8293075561523438,0.0415569396034159,False
spain_crops,ROI_00002,0.6571884155273438,0.029712621375550457,False
spain_crops,ROI_00003,0.6708793640136719,0.045065882397286684,False
spain_crops,ROI_00004,0.5943756103515625,0.04727315511784436,False
spain_crops,ROI_00005,0.460418701171875,0.04298743672301004,False
spain_crops,ROI_00006,0.3803138732910156,0.052526500650946,False
spain_crops,ROI_00007,0.5866889953613281,0.04700214745775785,False
spain_crops,ROI_00008,0.7171516418457031,0.03255080804228783,False
spain_crops,ROI_00010,0.3974571228027344,0.021668071962065168,False
spain_crops,ROI_00011,0.3680267333984375,0.020805254544096964,False
spain_crops,ROI_00012,0.5186882019042969,0.03109613005761747,False
spain_crops,ROI_00013,0.41205596923828125,0.030290550115391796,False
spain_crops,ROI_00014,0.4380836486816406,0.030277660116553307,False
spain_crops,ROI_00015,0.26209259033203125,0.03691457551156665,False
spain_crops,ROI_00016,0.2802886962890625,0.025876518338918686,False
spain_crops,ROI_00017,0.6162452697753906,0.024084738185514272,False
spain_crops,ROI_00019,0.44931793212890625,0.04965054179415291,False
spain_crops,ROI_00023,0.7163543701171875,0.04147797756264975,False
spain_crops,ROI_00024,0.3450813293457031,0.055248009178925445,False
spain_crops,ROI_00025,0.4605712890625,0.061227244037536925,False
spain_crops,ROI_00026,0.4328498840332031,0.03525756182218039,False
spain_crops,ROI_00027,0.46819305419921875,0.03962288858989874,False
spain_crops,ROI_00028,0.5047569274902344,0.06641983098269981,False
spain_crops,ROI_00030,0.51922607421875,0.04993377444276839,False
spain_crops,ROI_00031,0.2805633544921875,0.041700430812291155,False
spain_crops,ROI_00032,0.3861122131347656,0.03538879326740165,False
spain_crops,ROI_00033,0.18731307983398438,0.05922900572603131,False
spain_crops,ROI_00034,0.34185028076171875,0.035130241632829476,False
spain_urban,ROI_00001,0.2580146789550781,0.07946522372924252,False
spain_urban,ROI_00002,0.2669258117675781,0.05009462551018338,False
spain_urban,ROI_00004,0.2995948791503906,0.03262196876752524,False
spain_urban,ROI_00006,0.11494064331054688,0.0395345853894581,False
spain_urban,ROI_00007,0.08756256103515625,0.05712824303334878,False
spain_urban,ROI_00009,0.19523239135742188,0.06094842949123294,False
spain_urban,ROI_00010,0.25499725341796875,0.05054632565121592,False
spain_urban,ROI_00011,0.2842445373535156,0.06341175392362071,False
spain_urban,ROI_00013,0.0482177734375,0.03458995745735772,False
spain_urban,ROI_00014,0.24268722534179688,0.08988032292252705,False
spain_urban,ROI_00026,0.03733062744140625,0.04747398257726965,False
spain_urban,ROI_00027,0.1459197998046875,0.04511949928753354,False
spain_urban,ROI_00028,0.13763809204101562,0.052680098072246266,False
spain_urban,ROI_00030,0.3065681457519531,0.019411123409453366,False
spain_urban,ROI_00031,0.3192100524902344,0.025999047810694686,False
spain_urban,ROI_00032,0.3859825134277344,0.03178060009937595,False
spain_urban,ROI_00033,0.24150466918945312,0.040881827404653584,False
spain_urban,ROI_00034,0.4101829528808594,0.04343794593242584,False
spain_urban,ROI_00035,0.4104042053222656,0.0473705435194719,False
spain_urban,ROI_00036,0.25481414794921875,0.06322506158670158,False
