subset,window,method,planned,valid,missing,coverage,mean_risk
spain_urban,R1,lr,20,20,0,0.1,0.010406946709456799
spain_urban,R1,lr,20,20,0,0.2,0.010829381044767623
spain_urban,R1,lr,20,20,0,0.3,0.011324639037439167
spain_urban,R1,lr,20,20,0,0.4,0.011845703719311481
spain_urban,R1,lr,20,20,0,0.5,0.012403394321163667
spain_urban,R1,lr,20,20,0,0.6,0.01295712084569452
spain_urban,R1,lr,20,20,0,0.7,0.013577400106834975
spain_urban,R1,lr,20,20,0,0.8,0.014296185699178721
spain_urban,R1,lr,20,20,0,0.9,0.015219657370094192
spain_urban,R1,lr,20,20,0,1.0,0.016807584530800758
spain_urban,R1,three_model,20,20,0,0.1,0.007578681614672701
spain_urban,R1,three_model,20,20,0,0.2,0.008479125015355717
spain_urban,R1,three_model,20,20,0,0.3,0.009316012449842929
spain_urban,R1,three_model,20,20,0,0.4,0.010134873144694129
spain_urban,R1,three_model,20,20,0,0.5,0.010946286389067857
spain_urban,R1,three_model,20,20,0,0.6,0.011785075050534357
spain_urban,R1,three_model,20,20,0,0.7,0.012667601711554389
spain_urban,R1,three_model,20,20,0,0.8,0.013638793323845908
spain_urban,R1,three_model,20,20,0,0.9,0.014793914552246656
spain_urban,R1,three_model,20,20,0,1.0,0.016807584530800758
spain_urban,R1,k5,20,20,0,0.1,0.007218979774208168
spain_urban,R1,k5,20,20,0,0.2,0.008264652560411423
spain_urban,R1,k5,20,20,0,0.3,0.009164731954574973
spain_urban,R1,k5,20,20,0,0.4,0.010029184284691484
spain_urban,R1,k5,20,20,0,0.5,0.010901345302707834
spain_urban,R1,k5,20,20,0,0.6,0.011795189233928334
spain_urban,R1,k5,20,20,0,0.7,0.012730393973982545
spain_urban,R1,k5,20,20,0,0.8,0.013747241744122072
spain_urban,R1,k5,20,20,0,0.9,0.014933553579597825
spain_urban,R1,k5,20,20,0,1.0,0.016807584530800758
spain_urban,R1,neighborhood,20,20,0,0.1,0.006616781722426085
spain_urban,R1,neighborhood,20,20,0,0.2,0.007653991783060482
spain_urban,R1,neighborhood,20,20,0,0.3,0.008584668212521325
spain_urban,R1,neighborhood,20,20,0,0.4,0.009513761712135794
spain_urban,R1,neighborhood,20,20,0,0.5,0.010465767450687212
spain_urban,R1,neighborhood,20,20,0,0.6,0.011451005865946247
spain_urban,R1,neighborhood,20,20,0,0.7,0.012479999055877338
spain_urban,R1,neighborhood,20,20,0,0.8,0.013569624528535681
spain_urban,R1,neighborhood,20,20,0,0.9,0.014824161721857836
spain_urban,R1,neighborhood,20,20,0,1.0,0.016807584530800758
spain_urban,R1,random,20,20,0,0.1,0.016807584530800758
spain_urban,R1,random,20,20,0,0.2,0.016807584530800758
spain_urban,R1,random,20,20,0,0.3,0.016807584530800758
spain_urban,R1,random,20,20,0,0.4,0.016807584530800758
spain_urban,R1,random,20,20,0,0.5,0.016807584530800758
spain_urban,R1,random,20,20,0,0.6,0.016807584530800758
spain_urban,R1,random,20,20,0,0.7,0.016807584530800758
spain_urban,R1,random,20,20,0,0.8,0.016807584530800758
spain_urban,R1,random,20,20,0,0.9,0.016807584530800758
spain_urban,R1,random,20,20,0,1.0,0.016807584530800758
spain_urban,R9,lr,20,20,0,0.1,0.011048593415192081
spain_urban,R9,lr,20,20,0,0.2,0.011420910862205454
spain_urban,R9,lr,20,20,0,0.3,0.011868208900773938
spain_urban,R9,lr,20,20,0,0.4,0.012353020495371663
spain_urban,R9,lr,20,20,0,0.5,0.012870910839861078
spain_urban,R9,lr,20,20,0,0.6,0.013380781156687113
spain_urban,R9,lr,20,20,0,0.7,0.01394071568494587
spain_urban,R9,lr,20,20,0,0.8,0.014585195551396063
spain_urban,R9,lr,20,20,0,0.9,0.015401699757385447
spain_urban,R9,lr,20,20,0,1.0,0.016793639070804188
spain_urban,R9,three_model,20,20,0,0.1,0.008809401570672478
spain_urban,R9,three_model,20,20,0,0.2,0.009698252179518304
spain_urban,R9,three_model,20,20,0,0.3,0.010511174466308667
spain_urban,R9,three_model,20,20,0,0.4,0.01129521114548088
spain_urban,R9,three_model,20,20,0,0.5,0.012063499282598074
spain_urban,R9,three_model,20,20,0,0.6,0.012835265441547523
spain_urban,R9,three_model,20,20,0,0.7,0.013631034759399308
spain_urban,R9,three_model,20,20,0,0.8,0.014477043949441572
spain_urban,R9,three_model,20,20,0,0.9,0.015425853106807524
spain_urban,R9,three_model,20,20,0,1.0,0.016793639070804188
spain_urban,R9,k5,20,20,0,0.1,0.007984405944817387
spain_urban,R9,k5,20,20,0,0.2,0.009081044254920737
spain_urban,R9,k5,20,20,0,0.3,0.009989986070610633
spain_urban,R9,k5,20,20,0,0.4,0.010857969622472924
spain_urban,R9,k5,20,20,0,0.5,0.011708419051656722
spain_urban,R9,k5,20,20,0,0.6,0.012560615225612299
spain_urban,R9,k5,20,20,0,0.7,0.013431214800910843
spain_urban,R9,k5,20,20,0,0.8,0.014346652455392017
spain_urban,R9,k5,20,20,0,0.9,0.015366532017968462
spain_urban,R9,k5,20,20,0,1.0,0.016793639070804188
spain_urban,R9,neighborhood,20,20,0,0.1,0.007027734537748691
spain_urban,R9,neighborhood,20,20,0,0.2,0.008157811572046324
spain_urban,R9,neighborhood,20,20,0,0.3,0.009162495279812253
spain_urban,R9,neighborhood,20,20,0,0.4,0.010137046585178559
spain_urban,R9,neighborhood,20,20,0,0.5,0.01111906160102675
spain_urban,R9,neighborhood,20,20,0,0.6,0.012099961669951401
spain_urban,R9,neighborhood,20,20,0,0.7,0.013082289770115583
spain_urban,R9,neighborhood,20,20,0,0.8,0.014091851232260342
spain_urban,R9,neighborhood,20,20,0,0.9,0.015199695779347594
spain_urban,R9,neighborhood,20,20,0,1.0,0.016793639070804188
spain_urban,R9,random,20,20,0,0.1,0.016793639070804188
spain_urban,R9,random,20,20,0,0.2,0.016793639070804188
spain_urban,R9,random,20,20,0,0.3,0.016793639070804188
spain_urban,R9,random,20,20,0,0.4,0.016793639070804188
spain_urban,R9,random,20,20,0,0.5,0.016793639070804188
spain_urban,R9,random,20,20,0,0.6,0.016793639070804188
spain_urban,R9,random,20,20,0,0.7,0.016793639070804188
spain_urban,R9,random,20,20,0,0.8,0.016793639070804188
spain_urban,R9,random,20,20,0,0.9,0.016793639070804188
spain_urban,R9,random,20,20,0,1.0,0.016793639070804188
