subset,roi,status,reason,grid_pixels,valid_pixels,im,om,ha
spain_crops,ROI_00001,valid,,230400,79839,0.1357153842990074,0.601059677147955,0.26322493838040245
spain_crops,ROI_00002,valid,,230400,85338,0.18072779796123706,0.5262278043093043,0.29304439784245356
spain_crops,ROI_00003,valid,,230400,91018,0.12521454079805303,0.47669963289279377,0.39808582671854104
spain_crops,ROI_00004,valid,,230400,76522,0.11901921729150745,0.6678571291081393,0.2131236536406279
spain_crops,ROI_00005,valid,,230400,84337,0.13708807962102962,0.5672110467368189,0.29570087375352355
spain_crops,ROI_00006,valid,,230400,78892,0.1909861001509818,0.5206279568270815,0.2883859429954819
spain_crops,ROI_00007,valid,,230400,87231,0.1657505077654891,0.46112011097072486,0.373129381282116
spain_crops,ROI_00008,valid,,230400,84988,0.163800698341881,0.5073923749802155,0.3288069268820585
spain_crops,ROI_00010,valid,,230400,109368,0.1560627669116542,0.3856573421445248,0.45827989088030846
spain_crops,ROI_00011,valid,,230400,103482,0.15440506515707658,0.44274729716995914,0.40284763768156057
spain_crops,ROI_00012,valid,,230400,90659,0.15781740914671605,0.5049533922063034,0.3372291986933353
spain_crops,ROI_00013,valid,,230400,96390,0.15368924934949374,0.48722693989584276,0.35908381084349483
spain_crops,ROI_00014,valid,,230400,89431,0.15853242132658849,0.5471088063714081,0.2943587723744817
spain_crops,ROI_00015,valid,,230400,88793,0.1866868675457966,0.5027011845148904,0.31061194794945585
spain_crops,ROI_00016,valid,,230400,99980,0.1576991588461665,0.44863038903334584,0.39367045207952533
spain_crops,ROI_00017,valid,,230400,99570,0.15253315214834964,0.449740922269873,0.3977259254345869
spain_crops,ROI_00019,valid,,230400,85632,0.1891229553334432,0.5078085132925503,0.3030685314019021
spain_crops,ROI_00023,valid,,230400,79531,0.1293680599506814,0.6404064435230172,0.23022549651538154
spain_crops,ROI_00024,valid,,230400,83246,0.21033823435704402,0.49349192064678593,0.29616984481433334
spain_crops,ROI_00025,valid,,230400,90689,0.1443426862009568,0.44946128414897013,0.4061960297404897
spain_crops,ROI_00026,valid,,230400,91710,0.16730127910618137,0.4004098106721246,0.43228891035758193
spain_crops,ROI_00027,valid,,230400,81652,0.21814100574996892,0.45247354514681315,0.3293854492109327
spain_crops,ROI_00028,valid,,230400,80084,0.21931264441825685,0.48360516976072365,0.2970821860134579
spain_crops,ROI_00030,valid,,230400,85874,0.216822501908906,0.4331255790972356,0.3500519191353575
spain_crops,ROI_00031,valid,,230400,84647,0.22355002149355518,0.4447575051984233,0.3316924732486914
spain_crops,ROI_00032,valid,,230400,80305,0.19731738559338924,0.5633185239973236,0.23936409040623077
spain_crops,ROI_00033,valid,,230400,84553,0.20036022723935767,0.5297754083501037,0.2698643642326669
spain_crops,ROI_00034,valid,,230400,84301,0.21996463377118963,0.5192934120541733,0.26074195439758574
spain_urban,ROI_00001,valid,,230400,80827,0.16723056845442882,0.575709970030229,0.25705946165071075
spain_urban,ROI_00002,valid,,230400,86278,0.21749813004741336,0.4343396893598305,0.3481621806253943
spain_urban,ROI_00004,valid,,230400,88488,0.219223752039746,0.47825506271990403,0.30252118533456224
spain_urban,ROI_00006,valid,,230400,87823,0.22716199434873013,0.4777922209854763,0.2950457846490173
spain_urban,ROI_00007,valid,,230400,84859,0.21777662213180132,0.48484890025909355,0.2973744776583476
spain_urban,ROI_00009,valid,,230400,89701,0.20239343859263315,0.428114748982648,0.3694918126645411
spain_urban,ROI_00010,valid,,230400,82633,0.21586429815786537,0.4966050057585535,0.28753069584418245
spain_urban,ROI_00011,valid,,230400,80686,0.19640019781425969,0.5308124589909586,0.2727873432904658
spain_urban,ROI_00013,valid,,230400,102851,0.173376456084563,0.4185434313671875,0.4080801126017663
spain_urban,ROI_00014,valid,,230400,82385,0.20094415805626503,0.5201556399979291,0.27890020216359435
spain_urban,ROI_00026,valid,,230400,103129,0.1747375396370144,0.41793161922109584,0.4073308414620095
spain_urban,ROI_00027,valid,,230400,85308,0.1970353029583796,0.5072698866061277,0.295694810477294
spain_urban,ROI_00028,valid,,230400,82891,0.1901991602046599,0.5528632881051423,0.25693755178200633
spain_urban,ROI_00030,valid,,230400,113173,0.17099919477863984,0.3605582505976213,0.46844255467020707
spain_urban,ROI_00031,valid,,230400,89487,0.18240946418435694,0.5220518043989087,0.2955387312874899
spain_urban,ROI_00032,valid,,230400,93042,0.17767199095351804,0.48023821965329294,0.3420897895292169
spain_urban,ROI_00033,valid,,230400,83874,0.19793130935665026,0.4994377146718066,0.3026309759535364
spain_urban,ROI_00034,valid,,230400,81889,0.20468727137011766,0.4760817865963027,0.3192309421192717
spain_urban,ROI_00035,valid,,230400,81520,0.23249735668377916,0.48343847412058355,0.2840641691039158
spain_urban,ROI_00036,valid,,230400,85320,0.21199995545834982,0.45877014194452376,0.3292299027060649
