method,window,roi_count,mean_aurc,mean_rho
ldsr_variance_k5,1,120,0.009219597259181228,0.3959881512184245
lr_reprojection_l1,1,120,0.009952200161865855,0.2974127147265195
three_model_disagreement,1,120,0.009259619242218037,0.40408620724455047
ldsr_variance_k5,9,120,0.009573651050623595,0.5986411876693961
lr_reprojection_l1,9,120,0.010128809007579637,0.46882576740908277
three_model_disagreement,9,120,0.009667580469041846,0.5790021349340919
